HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Augsburg,0,0,D,0,0,D,3,2,0,1
Bayern Munich,1,1,D,1,0,H,2,1,0,0
Darmstadt,1,2,A,1,0,H,2,2,0,0
Dortmund,5,1,H,2,0,H,2,0,0,0
Hoffenheim,2,1,H,1,1,D,3,4,0,0
Leverkusen,2,1,H,2,1,H,1,6,0,0
M'gladbach,2,1,H,1,1,D,2,2,0,0
Schalke 04,1,1,D,0,0,D,1,5,0,0
Stuttgart,1,3,A,1,1,D,3,2,0,0
Augsburg,1,3,A,1,1,D,3,3,0,0
Bayern Munich,3,1,H,2,0,H,0,1,0,0
Darmstadt,0,2,A,0,1,A,3,0,0,0
Dortmund,2,2,D,1,2,A,1,0,0,0
Hoffenheim,1,4,A,1,2,A,1,1,0,0
Leverkusen,3,2,H,2,1,H,1,1,0,0
Wolfsburg,3,1,H,2,0,H,2,2,0,0
