HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Verona,2,1,H,0,1,A,1,2,0,0
Juventus,2,0,H,1,0,H,6,2,0,0
Milan,3,3,D,0,2,A,2,7,0,0
Sassuolo,1,0,H,0,0,D,0,1,0,0
Genoa,2,3,A,1,1,D,3,3,0,0
Napoli,2,1,H,1,0,H,0,2,0,0
Inter,2,1,H,2,1,H,3,1,0,0
Fiorentina,0,0,D,0,0,D,3,4,0,0
Frosinone,0,1,A,0,0,D,4,4,0,0
Roma,3,0,H,2,0,H,1,3,0,0
Verona,2,1,H,1,0,H,3,2,0,1
Juventus,5,0,H,3,0,H,3,1,0,1
Milan,1,3,A,0,1,A,4,0,0,0
Napoli,4,0,H,1,0,H,1,1,0,1
Sassuolo,3,1,H,3,1,H,3,3,0,1
Genoa,1,2,A,0,0,D,3,3,0,0
